
good_fellow& 0.19028903037606065\\ 
better_known& 0.1472358382251802\\ 
spare_time& 0.14643677722852186\\ 
good_man& 0.14523648100866943\\ 
quiet_fellow& 0.12647896292533486\\ 
hot_air& 0.12596921264315739\\ 
firm_believer& 0.12292929279185746\\ 
hand_man& 0.11768904335062541\\ 
hard_worker& 0.10934453810599641\\ 
stock_judge& 0.10825965645182385\\ 
big_man& 0.1061920307843317\\ 
fine_fellow& 0.10277616958689137\\ 
english_department& 0.0969817676327889\\ 
takes_life& 0.09420782704463834\\ 
good_engineer& 0.09329032025883018\\ 
hearted_fellow& 0.09257303372902105\\ 
fair_sex& 0.08981834152425368\\ 
special_work& 0.08798298494257793\\ 
practical_work& 0.08549320052386286\\ 
dry_wit& 0.08549312127589508\\ 
hard_work& 0.08132600363820383\\ 
young_man& 0.08077113220164057\\ 
good_scout& 0.07815051315678645\\ 
slide_rule& 0.07606666912721902\\ 
practical_man& 0.07548435172449465\\ 
football_team& 0.07520043486856906\\ 
little_fellow& 0.07385433175488308\\ 
public_speaking& 0.0729124747389684\\ 
frequent_trips& 0.07238845761627138\\ 
gray_matter& 0.06983327147720202\\ 
loyal_ag& 0.06806049981990851\\ 
math_department& 0.06806049394954068\\ 
working_chap& 0.06806048617841658\\ 
college_course& 0.06806042144730469\\ 
good_judge& 0.06801327093134646\\ 
practical_experience& 0.06548928432498186\\ 
good_athlete& 0.0637172113864199\\ 
busy_man& 0.0630800668156826\\ 
good_story& 0.061620880030805104\\ 
cross_country& 0.05888117824507833\\ 
good_old& 0.05847710965721152\\ 
highest_ambition& 0.05723439354635124\\ 
cinder_path& 0.056559185546909384\\ 
college_life& 0.05472202847662698\\ 
rough_house& 0.054131093891762086\\ 
big_fellow& 0.0530203310310145\\ 
jolly_fellow& 0.052753504176833194\\ 
laundry_magnate& 0.046191591006732605\\ 
college_activities& 0.04589615773224357\\ 
outside_work& 0.03219849866048695\\ 
literary_society& 0.022234189999785832\\ 
quiet_chap& 0.01649756879316349\\ 
good_worker& 0.012412581752095798\\ 
post_office& 0.00674305997350566\\ 
campus_lab& 0.00023645070336317437\\ 
especially_fond& -0.022754434990900678\\ 
works_hard& -0.02372983182795073\\ 
college_work& -0.0265924597999618\\ 
thorough_student& -0.03834592977965149\\ 
mighty_good& -0.04050781940675668\\ 
junior_class& -0.05634150541731154\\ 
won_fame& -0.06434208633585932\\ 
earnest_worker& -0.06552929123135633\\ 
jolly_good& -0.07050202191896365\\ 
conscientious_worker& -0.10226814981821285\\ 
gets_good& -0.10390924798960338\\ 
brown_eyes& -0.13364662139596584\\ 
strenuous_life& -0.13987028678178776\\ 
great_deal& -0.1524517450342994\\ 
good_grades& -0.23545505850073092\\ 
good_friend& -0.2920244833569669\\ 
good_time& -0.3045509782657306\\ 
true_worth& -0.3111718337013907\\ 
faithful_student& -0.3183615902975265\\ 
loyal_friend& -0.34823177497707286\\ 
blue_eyes& -0.5712908954077107\\ 
little_girl& -0.7401796802430418
