word,coefficient
early,0.1568091546006795
matrimonial,0.1562351323680442
right,0.07329300997294107
extremely,0.06430923297380775
great,0.058196621561596454
big,0.05068725275682288
young,0.0499777775889639
hard,0.021037101960626903
easily,0.018525354486154895
greater,0.016935207938564012
small,0.013029191794982962
spare,0.012596234842766297
better,0.010928113692488733
true,0.009386101122651622
prep,0.003651367550184526
good,0.003163156396999734
practical,0.0023537794476313277
bad,0.001924009654431943
real,0.001030996692353525
just,0.0003471504377311956
able,0.00024509724752092357
junior,-0.005617995291249227
happy,-0.006807191665262782
short,-0.015309745435884384
long,-0.018450146154509173
