word,coefficient
pleasant,0.29100278003599434
capable,0.22706575709221186
modest,0.2217357292777276
fair,0.2073116293832798
loyal,0.1781397158115901
willing,0.16640566546185906
fond,0.16640561804548057
long,0.1377248307759413
sweet,0.13179843417879572
true,0.09730179061479632
funny,0.09372124231507804
quite,0.0870736472197615
just,0.08604314724814244
conscientious,0.07885433993143806
small,0.07854261713755312
bright,0.06616198581935487
clever,0.06125129454868457
easily,0.05985628875973565
beautiful,0.04346484044691547
generous,0.043464611369911824
quiet,0.03765971834690917
cheerful,0.01353454327804333
forth,0.004193688270502339
placid,0.0032459612571852183
broad,-0.05320968606998091
worth,-0.0776013313170746
handsome,-0.08091222642214453
popular,-0.09755150182941894
early,-0.15686516235588652
big,-0.16176456142956327
especially,-0.17842115845724238
industrial,-0.218889642535891
successful,-0.21888990330476812
