feature,coef_true,tau_placebo,selected
"""—colly",-0.0,0.0,False
"""—hood",-0.0,0.0,False
"""—shakespeare",-0.0,0.0,False
"""—story",-0.0,0.0,False
"""—whittier",-0.0,0.0,False
"""—young",-0.0,0.0,False
-,-0.0,0.09476183576070511,False
abe,-0.0,0.0,False
able,-0.18274491431923398,0.09096174649127722,True
abound,-0.0,0.0,False
abroad,-0.0,0.0,False
abrupt,0.0,0.0,False
abruptly,0.0,0.0,False
absholootly,0.0,0.0,False
absolutely,0.0,0.0,False
abstract,-0.0,0.0,False
academic,0.0,0.0,False
accidentally,-0.0,0.0,False
acclimated,0.0,0.0,False
accomplished,-0.0,0.0,False
accordingly,-0.0,0.0,False
accurate,-0.0,0.0,False
acquainted,0.0,0.0,False
acrobatic,-0.0,0.0,False
active,-0.0,0.07414304879521036,False
actual,-0.0,0.0,False
actually,-0.0,0.0,False
additional,0.0,0.0,False
adept,-0.0,0.0,False
adieu,-0.0,0.0,False
adjoining,-0.0,0.0,False
admirable,0.0,0.0,False
advance,-0.0,0.0,False
advanced,0.0,0.0,False
afar,-0.0,0.0,False
affable,-0.0,0.0,False
afraid,0.011464141766884475,0.09799533309847354,False
afterward,-0.0,0.0,False
agile,-0.0,0.0,False
ago,-0.0,0.0,False
agreeable,-0.0,0.0,False
agricultural,-0.0,0.08061071698931889,False
ahead,0.0,0.07485917598523502,False
aimless,0.0,0.0,False
alarmingly,-0.0,0.0,False
alchemy,-0.0,0.0,False
alike,0.0,0.0,False
alive,0.0,0.0,False
altogether,-0.0,0.0,False
amateur,-0.0,0.0,False
amazed,-0.0,0.0,False
ambitious,-0.12803899642937783,0.09189121453411184,True
american,-0.0,0.0,False
amiable,0.0,0.027724771261857958,False
ample,0.0,0.0,False
amusing,0.0,0.0,False
anaerobic,-0.0,0.0,False
anatomy,-0.0,0.0,False
ancient,0.0,0.0,False
angelic,-0.0,0.0,False
angry,0.0,0.0,False
angular,-0.0,0.0,False
annual,-0.0,0.0,False
antagonistic,0.0,0.0,False
anti,-0.0,0.0,False
anxious,-0.0,0.0,False
anytime,-0.0,0.0,False
apparent,-0.0,0.0,False
apparently,-0.0,0.0,False
applied,-0.0,0.0,False
appreciably,-0.0,0.0,False
appropriate,-0.0,0.0,False
approximately,-0.0,0.0,False
apt,-0.0,0.0,False
ardent,0.0,0.0,False
argufier,-0.0,0.0,False
argumentative,-0.0,0.0,False
aristocratic,-0.0,0.0,False
artificially,-0.0,0.0,False
artistic,-0.0,0.0,False
ashamed,0.0,0.0,False
aside,0.0,0.0,False
asleep,-0.0,0.0,False
ass't,-0.0,0.0,False
assistant,-0.0,0.0,False
assorted,-0.0,0.0,False
assuredly,-0.0,0.0,False
astir,-0.0,0.0,False
astronomical,-0.0,0.0,False
asunder,-0.0,0.0,False
athletic,-0.06846025579485687,0.08367323035802948,False
athletically,-0.0,0.0,False
atmospheric,-0.0,0.0,False
attendant,-0.0,0.0,False
attractive,0.0,0.0,False
augustly,-0.0,0.0,False
authoritative,-0.0,0.0,False
automatic,-0.0,0.0,False
available,-0.0,0.0,False
"avails,—not",-0.0,0.0,False
average,-0.0,0.0,False
averse,-0.0,0.0,False
awake,0.0,0.0,False
aware,-0.0,0.0,False
away,-0.0714554905004125,0.09719000031601599,False
awful,-0.0,0.054291039014808744,False
awfully,-0.0,0.0,False
awkward,0.0,0.0,False
aye,-0.0,0.0,False
backward,-0.0,0.0,False
backwards,0.0,0.0,False
bad,-0.054062017322634666,0.09662198161232662,False
badly,-0.0,0.0,False
balanced,-0.0,0.0,False
bald,-0.0,0.0,False
bankrupt,-0.0,0.0,False
barely,-0.0,0.0,False
bashful,-0.0,0.071794837453188,False
beautiful,-0.0,0.08294792532410727,False
beautifully,0.0,0.0,False
bee,0.0,0.0,False
behold,-0.0,0.0,False
beiny,-0.0,0.0,False
beloved,0.0,0.0,False
bended,-0.0,0.0,False
benign,0.0,0.0,False
bent,-0.0,0.0,False
best,-0.0,0.07466686597373567,False
better,-0.07244824538560377,0.07701957941029143,False
bibble,0.0,0.0,False
big,-0.029055148897501323,0.07057928627074925,False
bigger,-0.0,0.0,False
biggest,0.0,0.0,False
billy,0.0,0.0,False
black,-0.0,0.0742389029499668,False
blackest,0.0,0.0,False
bland,-0.0,0.0,False
blank,-0.0,0.0,False
blest,0.0,0.0,False
blind,-0.0,0.0,False
bliss,0.0,0.0,False
blissful,0.0,0.0,False
bloated,-0.0,0.0,False
blond,0.0,0.0,False
blonde,-0.0,0.0,False
bloodless,-0.0,0.0,False
bloodthirsty,-0.0,0.0,False
bloody,0.0,0.0,False
blue,-0.0,0.08229484738579344,False
blunt,0.0,0.0,False
blythe,0.0,0.0,False
bo,-0.0,0.0,False
boardy,-0.0,0.0,False
bodily,-0.0,0.0,False
boisterous,-0.0,0.0,False
bold,-0.0,0.05435407740609689,False
boldly,-0.0,0.0,False
bonny,0.0,0.0,False
botanical,-0.0,0.0,False
bottomless,-0.0,0.0,False
bounteous,0.0,0.0,False
boyish,-0.0,0.0,False
brainy,-0.0,0.0,False
brave,0.0,0.0,False
bravely,-0.0,0.0,False
bravest,-0.0,0.0,False
bright,-0.07235661482228152,0.09221682954492613,False
brighter,-0.0,0.0,False
brilliant,-0.0,0.09361631844033932,False
brisk,-0.0,0.0,False
british,-0.0,0.0,False
broad,-0.0,0.08270891130986902,False
broader,-0.0,0.0,False
broken,0.0,0.0,False
brown,0.053381317838826596,0.08407115118608391,False
bucketful,0.0,0.0,False
bulky,-0.0,0.0,False
burly,-0.0,0.0,False
busiest,0.0,0.0,False
businesslike,-0.0,0.0,False
busy,-0.14655807381407168,0.08910225863891053,True
butch,-0.0,0.0,False
buzzo,-0.0,0.0,False
bygone,-0.0,0.0,False
cacti,-0.0,0.0,False
cadaverous,-0.0,0.0,False
calm,-0.0,0.061574368628485726,False
campaniole,-0.0,0.0,False
canny,0.0,0.0,False
canst,-0.0,0.0,False
capable,-0.0,0.0947114830368247,False
capricious,-0.0,0.0,False
carefree,-0.0,0.0,False
careful,-0.0,0.0248186057013673,False
careless,-0.0,0.0,False
carv-,-0.0,0.0,False
castilian,-0.0,0.0,False
cecile,0.0,0.0,False
celestial,-0.0,0.0,False
cellulo,-0.0,0.0,False
centigrade,-0.0,0.0,False
central,0.0,0.0,False
certain,0.0,0.06475532233798387,False
