feature,coef_true,tau_placebo,selected
"""—colly",-0.0,0.0,False
"""—hood",-0.0,0.0,False
"""—shakespeare",-0.0,0.0,False
"""—story",0.0,0.0,False
"""—whittier",-0.0,0.0,False
"""—young",0.0,0.0,False
-,0.0,0.0932700042098283,False
abe,0.0,0.0,False
able,-0.08555787790056613,0.09575897189475725,False
abound,-0.0,0.0,False
abroad,-0.0,0.0,False
abrupt,-0.0,0.0,False
abruptly,0.0,0.0,False
absholootly,0.0,0.0,False
absolutely,0.0,0.0,False
abstract,-0.0,0.0,False
academic,-0.0,0.0,False
accidentally,0.0,0.0,False
acclimated,0.0,0.0,False
accomplished,0.0,0.0,False
accordingly,-0.0,0.0,False
accurate,0.0,0.0,False
acquainted,-0.0,0.0,False
acrobatic,-0.0,0.0,False
active,0.0,0.08097766639302634,False
actual,-0.0,0.0,False
actually,0.0,0.0,False
additional,-0.0,0.0,False
adept,-0.0,0.0,False
adieu,-0.0,0.0,False
adjoining,-0.0,0.0,False
admirable,-0.0,0.0,False
advance,-0.0,0.0,False
advanced,0.0,0.0,False
afar,0.0,0.0,False
affable,-0.0,0.0,False
afraid,-0.009683032346573524,0.09494291930597289,False
afterward,-0.0,0.0,False
agile,-0.0,0.0,False
ago,0.0,0.0,False
agreeable,0.0,0.0,False
agricultural,0.09089231203635388,0.097413968352783,False
ahead,-0.0,0.07740112072505244,False
aimless,-0.0,0.0,False
alarmingly,-0.0,0.0,False
alchemy,-0.0,0.0,False
alike,0.0,0.0,False
alive,0.0,0.0,False
altogether,-0.0,0.0,False
amateur,0.0,0.0,False
amazed,-0.0,0.0,False
ambitious,-0.0,0.09223470431325911,False
american,0.0,0.0,False
amiable,0.0,0.046027678940368535,False
ample,0.0,0.0,False
amusing,-0.0,0.0,False
anaerobic,-0.0,0.0,False
anatomy,-0.0,0.0,False
ancient,0.0,0.0,False
angelic,-0.0,0.0,False
angry,0.0,0.0,False
angular,-0.0,0.0,False
annual,-0.0,0.0,False
antagonistic,0.0,0.0,False
anti,-0.0,0.0,False
anxious,-0.0,0.0,False
anytime,-0.0,0.0,False
apparent,0.0,0.0,False
apparently,-0.0,0.0,False
applied,-0.0,0.0,False
appreciably,-0.0,0.0,False
appropriate,-0.0,0.0,False
approximately,-0.0,0.0,False
apt,0.0,0.0,False
ardent,0.0,0.0,False
argufier,-0.0,0.0,False
argumentative,-0.0,0.0,False
aristocratic,0.0,0.0,False
artificially,-0.0,0.0,False
artistic,-0.0,0.0,False
ashamed,0.0,0.0,False
aside,0.0,0.0,False
asleep,-0.0,0.0,False
ass't,-0.0,0.0,False
assistant,0.0,0.0,False
assorted,-0.0,0.0,False
assuredly,0.0,0.0,False
astir,-0.0,0.0,False
astronomical,-0.0,0.0,False
asunder,-0.0,0.0,False
athletic,0.0,0.08175511264083209,False
athletically,0.0,0.0,False
atmospheric,-0.0,0.0,False
attendant,-0.0,0.0,False
attractive,-0.0,0.0,False
augustly,-0.0,0.0,False
authoritative,-0.0,0.0,False
automatic,-0.0,0.0,False
available,0.0,0.0,False
"avails,—not",-0.0,0.0,False
average,0.0,0.0,False
averse,0.0,0.0,False
awake,-0.0,0.0,False
aware,0.0,0.0,False
away,-0.0,0.09893398261257393,False
awful,-0.0,0.05549147819187976,False
awfully,-0.0,0.0,False
awkward,0.0,0.0,False
aye,0.0,0.0,False
backward,0.0,0.0,False
backwards,0.0,0.0,False
bad,-0.0,0.09762895418165829,False
badly,-0.0,0.0,False
balanced,0.0,0.0,False
bald,0.08121848025508392,0.0,True
bankrupt,0.0,0.0,False
barely,0.0,0.0,False
bashful,0.0,0.06022349040224489,False
beautiful,-0.0,0.07920404959972206,False
beautifully,-0.0,0.0,False
bee,-0.0,0.0,False
behold,0.0,0.0,False
beiny,0.0,0.0,False
beloved,0.0,0.0,False
bended,-0.0,0.0,False
benign,-0.0,0.0,False
bent,-0.0,0.0,False
best,0.0,0.07453873019478525,False
better,0.07761258423931591,0.08155318905190792,False
bibble,0.0,0.0,False
big,0.012460238739454664,0.07172156440799278,False
bigger,-0.0,0.0,False
biggest,0.031869948511805433,0.0,True
billy,-0.0,0.0,False
black,0.0,0.05799106793855864,False
blackest,-0.0,0.0,False
bland,0.0,0.0,False
blank,-0.0,0.0,False
blest,-0.0,0.0,False
blind,-0.0,0.0,False
bliss,-0.0,0.0,False
blissful,0.0,0.0,False
bloated,-0.0,0.0,False
blond,0.0,0.0,False
blonde,-0.0,0.0,False
bloodless,-0.0,0.0,False
bloodthirsty,0.0,0.0,False
bloody,-0.0,0.0,False
blue,-0.02106773182482924,0.09326356951744254,False
blunt,-0.0,0.0,False
blythe,-0.0,0.0,False
bo,-0.0,0.0,False
boardy,-0.0,0.0,False
bodily,0.0,0.0,False
boisterous,-0.0,0.0,False
bold,-0.0,0.049272351299399136,False
boldly,-0.0,0.0,False
bonny,-0.0,0.0,False
botanical,-0.0,0.0,False
bottomless,-0.0,0.0,False
bounteous,-0.0,0.0,False
boyish,0.0,0.0,False
brainy,-0.0,0.0,False
brave,0.0,0.0,False
bravely,0.0,0.0,False
bravest,0.0,0.0,False
bright,0.0,0.09427013942265883,False
brighter,-0.0,0.0,False
brilliant,0.0,0.09586190224076273,False
brisk,-0.0,0.0,False
british,-0.0,0.0,False
broad,0.0,0.09377578450623013,False
broader,-0.0,0.0,False
broken,-0.0,0.0,False
brown,0.0,0.08109554015890426,False
bucketful,-0.0,0.0,False
bulky,-0.0,0.0,False
burly,-0.0,0.0,False
busiest,0.0,0.0,False
businesslike,-0.0,0.0,False
busy,-0.02956322495231529,0.09174061294197784,False
butch,0.0,0.0,False
buzzo,-0.0,0.0,False
bygone,-0.0,0.0,False
cacti,0.0,0.0,False
cadaverous,0.0,0.0,False
calm,-0.09798960843676426,0.07521998821587747,True
campaniole,0.0,0.0,False
canny,0.0,0.0,False
canst,0.0,0.0,False
capable,0.0,0.09678003180607392,False
capricious,-0.0,0.0,False
carefree,-0.0,0.0,False
careful,-0.030343441394698627,0.04316307635978279,False
careless,-0.0,0.0,False
carv-,-0.0,0.0,False
castilian,-0.0,0.0,False
cecile,-0.0,0.0,False
celestial,-0.0,0.0,False
cellulo,0.0,0.0,False
centigrade,0.0,0.0,False
central,0.0,0.0,False
certain,-0.0,0.08191512025209917,False
certainly,-0.098348435657881,0.08069478030474475,True
changeable,-0.0,0.0,False
