feature,coef_true,tau_placebo,selected
"""—colly",-0.0,0.0,False
"""—hood",-0.0,0.0,False
"""—shakespeare",-0.0,0.0,False
"""—story",-0.0,0.0,False
"""—whittier",-0.0,0.0,False
"""—young",-0.0,0.0,False
-,0.0,0.06309831630305092,False
abe,-0.0,0.0,False
able,-0.03114230738580887,0.07416591880248355,False
abound,-0.0,0.0,False
abroad,-0.0,0.0,False
abrupt,0.0,0.0,False
abruptly,-0.0,0.0,False
absholootly,-0.0,0.0,False
absolutely,0.0,0.03450317171471553,False
abstract,0.0,0.0,False
academic,-0.0,0.0,False
accidentally,-0.0,0.0,False
acclimated,-0.0,0.0,False
accomplished,0.0,0.0,False
accordingly,0.0,0.0,False
accurate,-0.0,0.0,False
acquainted,-0.0,0.0,False
acrobatic,-0.0,0.0,False
active,0.0,0.04764457017449737,False
actual,-0.0,0.0,False
actually,-0.0,0.0,False
additional,-0.0,0.0,False
adept,0.0,0.0,False
adieu,-0.0,0.0,False
adjoining,-0.0,0.0,False
admirable,-0.0,0.0,False
advance,-0.0,0.0,False
advanced,0.0,0.0,False
afar,-0.0,0.0,False
affable,-0.0,0.0,False
afraid,0.0,0.07258241136802177,False
afterward,-0.0,0.0,False
agile,-0.0,0.0,False
ago,-0.0,0.0,False
agreeable,-0.0,0.0,False
agricultural,-0.0,0.0716199755860947,False
ahead,0.0,0.050613617920318155,False
aimless,-0.0,0.0,False
alarmingly,-0.0,0.0,False
alchemy,-0.0,0.0,False
alike,0.0,0.0,False
alive,-0.0,0.0,False
altogether,0.0,0.0,False
amateur,-0.0,0.0,False
amazed,-0.0,0.0,False
ambitious,0.0,0.07524559993478319,False
american,-0.0,0.0,False
amiable,0.0,0.016715759119577008,False
ample,-0.0,0.0,False
amusing,0.0,0.0,False
anaerobic,0.0,0.0,False
anatomy,-0.0,0.0,False
ancient,-0.0,0.0,False
angelic,-0.0,0.0,False
angry,0.0,0.0,False
angular,-0.0,0.0,False
annual,0.0,0.0,False
antagonistic,-0.0,0.0,False
anti,-0.0,0.0,False
anxious,-0.0,0.0,False
anytime,-0.0,0.0,False
apparent,-0.0,0.0,False
apparently,-0.0,0.0,False
applied,-0.0,0.0,False
appreciably,-0.0,0.0,False
appropriate,-0.0,0.0,False
approximately,-0.0,0.0,False
apt,0.0,0.0,False
ardent,-0.0,0.0,False
argufier,-0.0,0.0,False
argumentative,0.0,0.0,False
aristocratic,-0.0,0.0,False
artificially,-0.0,0.0,False
artistic,-0.0,0.0,False
ashamed,0.0,0.0,False
aside,-0.0,0.0,False
asleep,-0.0,0.0,False
ass't,-0.0,0.0,False
assistant,-0.0,0.0,False
assorted,-0.0,0.0,False
assuredly,-0.0,0.0,False
astir,-0.0,0.0,False
astronomical,-0.0,0.0,False
asunder,-0.0,0.0,False
athletic,-0.028248672298830834,0.045050156146826344,False
athletically,-0.0,0.0,False
atmospheric,-0.0,0.0,False
attendant,-0.0,0.0,False
attractive,0.0,0.0,False
augustly,-0.0,0.0,False
authoritative,-0.0,0.0,False
automatic,0.0,0.0,False
available,-0.0,0.0,False
"avails,—not",-0.0,0.0,False
average,-0.0,0.025798489238432594,False
averse,-0.0,0.0,False
awake,0.0,0.0,False
aware,0.0,0.0,False
away,-0.059866669893469754,0.07561251697804301,False
awful,-0.0,0.0013395238015030248,False
awfully,0.0,0.0,False
awkward,-0.0,0.0,False
aye,-0.0,0.0,False
backward,-0.0,0.0,False
backwards,-0.0,0.0,False
bad,-0.0,0.0755845199197556,False
badly,-0.0,0.0,False
balanced,-0.0,0.0,False
bald,-0.0,0.0,False
bankrupt,-0.0,0.0,False
barely,-0.0,0.0,False
bashful,0.0,0.050405345101914516,False
beautiful,0.14035883198537497,0.04247655343547355,True
beautifully,0.0,0.0,False
bee,0.0,0.0,False
behold,-0.0,0.0,False
beiny,-0.0,0.0,False
beloved,-0.0,0.0,False
bended,-0.0,0.0,False
benign,0.0,0.0,False
bent,-0.0,0.0,False
best,0.006574182725212921,0.06031079614041492,False
better,-0.014835349060906063,0.06277670974199925,False
bibble,-0.0,0.0,False
big,-0.09200141205267075,0.0558387458236007,True
bigger,0.0,0.0,False
biggest,-0.0,0.0,False
billy,0.0,0.0,False
black,-0.0,0.050079884428963384,False
blackest,0.0,0.0,False
bland,-0.0,0.0,False
blank,0.0,0.0,False
blest,0.0,0.0,False
blind,-0.0,0.0,False
bliss,0.0,0.0,False
blissful,-0.0,0.0,False
bloated,-0.0,0.0,False
blond,0.0,0.0,False
blonde,-0.0,0.0,False
bloodless,-0.0,0.0,False
bloodthirsty,0.0,0.0,False
bloody,-0.0,0.0,False
blue,0.1723426938265778,0.06477823429114507,True
blunt,-0.0,0.0,False
blythe,0.0,0.0,False
bo,-0.0,0.0,False
boardy,0.0,0.0,False
bodily,-0.0,0.0,False
boisterous,-0.0,0.0,False
bold,0.0,0.005114828614153588,False
boldly,-0.0,0.0,False
bonny,0.0,0.0,False
botanical,-0.0,0.0,False
bottomless,-0.0,0.0,False
bounteous,-0.0,0.0,False
boyish,-0.0,0.0,False
brainy,-0.0,0.0,False
brave,0.03723467267200584,0.0,True
bravely,0.0,0.0,False
bravest,-0.0,0.0,False
bright,0.0,0.07589042685181818,False
brighter,-0.0,0.0,False
brilliant,0.0,0.07513996085469074,False
brisk,-0.0,0.0,False
british,-0.0,0.0,False
broad,-0.0,0.05998835929967226,False
broader,-0.0,0.0,False
broken,0.0,0.0,False
brown,0.0,0.04718408935867768,False
bucketful,-0.0,0.0,False
bulky,-0.0,0.0,False
burly,-0.0,0.0,False
busiest,-0.0,0.0,False
businesslike,-0.0,0.0,False
busy,-0.0,0.07083619506240081,False
butch,-0.0,0.0,False
buzzo,-0.0,0.0,False
bygone,-0.0,0.0,False
cacti,-0.0,0.0,False
cadaverous,-0.0,0.0,False
calm,0.4231531949939764,0.04287998630191191,True
campaniole,-0.0,0.0,False
canny,-0.0,0.0,False
canst,-0.0,0.0,False
capable,0.0,0.08135814570583412,False
capricious,0.0,0.0,False
carefree,0.0,0.0,False
careful,0.0,0.016317261801703044,False
careless,-0.0,0.0,False
carv-,0.0,0.0,False
castilian,0.0,0.0,False
cecile,0.0,0.0,False
celestial,-0.0,0.0,False
cellulo,-0.0,0.0,False
centigrade,-0.0,0.0,False
central,0.0,0.0,False
certain,0.0,0.040997273282402755,False
