feature,coef_true,tau_placebo,selected
able,-0.18274491431923398,0.09096174649127722,True
generous,0.1671797915060089,0.09964217733312632,True
probably,-0.1661571335639881,0.09600085733997633,True
pretty,-0.15848056619604692,0.09102775936012905,True
busy,-0.14655807381407168,0.08910225863891053,True
impossible,0.1387758400316539,0.0,True
wise,-0.12839578890475553,0.09176797431362614,True
ambitious,-0.12803899642937783,0.09189121453411184,True
nice,0.12728037222280988,0.07614462972688298,True
general,-0.12714080579288603,0.09343545301577248,True
close,-0.12309853733221371,0.09280625106640789,True
frequently,-0.11661350400491369,0.09921625780933896,True
sure,-0.11424007368362044,0.09209204063355095,True
great,-0.10953470211524373,0.06688917596086366,True
natured,-0.10710709613734556,0.09419987459877266,True
early,-0.10508156888392295,0.09586191047053876,True
popular,-0.10360380356831368,0.10062631810612759,True
thoughtful,-0.10247812412746593,0.0938636008889969,True
hearted,-0.10001810808064514,0.0908479325603713,True
just,-0.09962358431458808,0.06875156192947228,True
usually,-0.09851553675372351,0.09168289728673783,True
doubt,-0.09700210998549837,0.07991525025524002,True
short,-0.09198824051468757,0.0908080498436997,True
jovial,-0.0914904277416228,0.08035641910742004,True
dry,0.08954887581028186,0.024832343506813688,True
official,0.08821748932827264,0.07486006931978903,True
true,-0.0880726335523042,0.086036890198615,True
little,-0.08773857541490669,0.06234905417262944,True
surely,-0.08745247523983295,0.08410724191933151,True
faithful,-0.08278250278600345,0.0820108098183369,True
independent,-0.07805867625672713,0.022598315186672303,True
splendid,-0.06205281347534179,0.023784584143744784,True
mean,-0.04181379996023003,0.023954225566485302,True
lovable,0.041087045576080526,0.0,True
indispensable,0.036723673062603046,0.0,True
pleasing,-0.036153066193904765,0.026139754942512115,True
