word,coefficient
noble,0.30076899850224975
keen,0.2143908826801617
hardly,0.1573811574329494
public,0.11880893639811026
outside,0.11102057855870041
likable,0.09634467100020608
famous,0.09396170668540542
agricultural,0.09089231203635413
bald,0.08121848025508381
special,0.07789524433038905
better,0.07761258423931579
mighty,0.07286234764373994
free,0.06814987947818008
short,0.06057935215291799
sleepy,0.059649975747791274
lean,0.05825010092520618
husky,0.04995544511758497
deep,0.04878774285588118
considerable,0.04598043693599863
hard,0.03475407768710496
true,0.03437094365014735
happy,0.03292190203264397
southern,0.031962971203938775
biggest,0.031869948511805433
high,0.028943407515601625
effective,0.018685975327346362
practical,0.018499003841038454
hot,0.013910354283701448
big,0.012460238739454576
long,0.011932573391927956
perfectly,0.00689935232259156
late,0.006256329034364471
quick,0.005354646153261804
right,0.002063585179151129
worse,0.002044678632218979
firm,0.00036288843885734794
extra,-0.0006188822848835759
good,-0.0010274841225051548
general,-0.004353276347277201
jolly,-0.004521039128219353
gentle,-0.0050356459359007805
afraid,-0.009683032346573552
chief,-0.015506888612838445
lively,-0.017475208943716607
reserved,-0.01763529819175145
blue,-0.021067731824829274
strenuous,-0.021621875948412528
usually,-0.021631209245162764
easy,-0.021772825195810256
faithful,-0.021876725214051193
excellent,-0.02205325337420996
west,-0.02392684770819601
easily,-0.02506523760581381
half,-0.02854019081430506
busy,-0.02956322495231519
careful,-0.03034344139469875
little,-0.03219310839618863
worth,-0.03242421796004621
second,-0.03450637632981046
pretty,-0.034741438058239
spare,-0.03700704482639391
various,-0.0400132380583221
light,-0.04087557286873186
haired,-0.040926522594717185
quiet,-0.04371978563712476
frequently,-0.046799626010811626
nearly,-0.04810839278007372
fair,-0.048298008876555346
fine,-0.04831450816866099
loyal,-0.049468608886621177
popular,-0.049841778569081244
great,-0.05479633838602271
early,-0.05686960117928055
clever,-0.06578687378303436
generous,-0.07557474981659278
young,-0.07864149047348085
sweet,-0.08137706655601529
surely,-0.08228817681429122
able,-0.08555787790056618
hearted,-0.09260734385624392
quite,-0.09629408017853121
calm,-0.09798960843676421
certainly,-0.09834843565788115
electrical,-0.10583421968351307
inclined,-0.11520887167635442
conscientious,-0.12053342626292705
glad,-0.12315085219110579
civil,-0.13257165164716198
modest,-0.13742597179645463
pleasant,-0.13836504582513864
mechanical,-0.1738100578348515
