word,coefficient
mechanical,0.4221685649860585
civil,0.3661479261534901
frequently,0.2950200185136822
nearly,0.276379552565861
electrical,0.24178056734804929
inclined,0.22572372954976627
half,0.21498074550034402
literary,0.18612311090946085
surely,0.1850173350841536
reserved,0.1789206748482218
dutch,0.1576831627708392
largely,0.14781682087860812
fine,0.1443401192337074
excessive,0.14398271369134646
large,0.1261139122944162
able,0.11474444619030688
easy,0.11363422429962113
unlimited,0.10967494562817412
fast,0.10801751925569954
general,0.10625113031248755
away,0.10256262785615274
second,0.10133948708305908
seldom,0.09720569620376467
quiet,0.09556324250277125
major,0.09532373350488631
various,0.08276311821400185
usually,0.08248935563109872
deeply,0.08240097499463227
chief,0.07116600620339263
bigger,0.0646952230847244
thou,0.0484998207260938
probably,0.04691617718220509
wrong,0.04504619168107559
great,0.043520402344076926
close,0.04295763661912363
practical,0.04230072264747218
senior,0.03144163468411154
natured,0.031238211829608755
careful,0.030980400545435625
long,0.030301295186588462
curly,0.029775018130482157
wise,0.029208271754743265
modest,0.027311214013170833
popular,0.026094487300754244
hearted,0.0254050571440434
deliberate,0.023821371339157498
just,0.020490561488291866
busy,0.020299780919986583
quite,0.019401652812002096
naturally,0.01704635444126699
good,0.014666533903551849
energetic,0.01318363904396666
soon,0.011900964809379824
haired,0.010869370156571573
pretty,0.010077984192386171
far,0.004413840221794464
efficient,0.0035919244852745734
free,-0.0010033708476454158
right,-0.0014533453754935408
new,-0.002016318753442757
thoughtful,-0.003959317228734637
steady,-0.004795845358848039
hardly,-0.0049381954159088215
thorough,-0.005660764932951271
ready,-0.0058493313704024025
single,-0.006587574811851325
short,-0.007801588066633634
broad,-0.009690530539870963
small,-0.013820188511488267
fair,-0.01417578300302275
especially,-0.014574960978842396
bright,-0.01725264565716487
strong,-0.019273720345554947
mighty,-0.02090849568189928
modern,-0.024913917410209225
special,-0.032707244090579776
partial,-0.0356047457931818
high,-0.0435833240278723
happy,-0.04452031786193715
better,-0.048408934907245994
earnest,-0.05457413509903379
regular,-0.061196954929085376
organic,-0.063179511586212
glad,-0.06982123402089008
funny,-0.0709581066572414
public,-0.07608047033557339
willing,-0.08482251658676283
clever,-0.09532919309568812
loud,-0.11274719993656976
calm,-0.12042656917708641
keen,-0.12573951579836795
noble,-0.13567049840700082
interested,-0.13668800024494973
generous,-0.13867687627295638
true,-0.1411292970374983
merry,-0.1458082664641988
nice,-0.14761125740975542
active,-0.16787827116824844
rare,-0.1829389713292992
worse,-0.18941565279773392
