word,coefficient
booster_for,0.21838072372539996
man_who,0.17011817775396945
of_ability,0.16205186879672678
his_college,0.09548748167289836
a_mighty,0.09523243475347709
is_there,0.0934957637740138
the_farm,0.09001039616156432
man_that,0.08946004260346581
hard_to,0.07029144928095757
the_dairy,0.06479017972541362
a_man,0.06022923320798124
the_same,0.05853200324774853
the_boys,0.04748222771840483
a_keen,0.04018940373528951
fellow_who,0.035337243298005826
the_best,0.02765410891913035
a_hard,0.02429415874045321
his_course,0.011927093419403338
member_of,0.011719484213548252
one_year,0.01034364496801382
hard_worker,0.008870779268879478
a_good,0.008121515820084071
a_fellow,0.004253458919026001
back_to,0.0034788582741372576
came_here,0.0020232653035330405
his_own,0.000287928084355107
a_little,-0.0002166973890274892
time_to,-0.0032281742029474643
at_home,-0.006714129602550509
a_very,-0.009728297267650255
an_engineer,-0.012297217851096828
a_quiet,-0.012776016766293903
a_loyal,-0.012936927065904564
full_of,-0.02328132265246359
her_friends,-0.023556297774624764
a_great,-0.02455527468116817
a_shark,-0.028849908167689436
good_time,-0.029258884762763324
and_always,-0.034561266713494694
is_always,-0.03506695864333471
good_student,-0.03839347155926967
inclined_to,-0.04042213572673363
able_to,-0.05324535886355856
many_friends,-0.05344333622939219
the_only,-0.05375958817702
a_pleasant,-0.055063464577105654
a_fine,-0.05746098096979214
her_own,-0.06196964534925169
girl_who,-0.10941963038034923
