word,coefficient
calm,0.4243801736082974
nice,0.42097540330763356
clever,0.3711132439996663
lovable,0.35363792886106377
merry,0.348423217452654
generous,0.3436055649565087
partial,0.33888760708782967
democratic,0.3135892719659081
kind,0.27419683805310024
willing,0.258395240156382
steadfast,0.23731238523789652
glad,0.23699724071162934
winsome,0.2159231060166862
dependable,0.21101368769687678
sweet,0.20837305858902597
wild,0.18632447321948606
domestic,0.18597108649393862
blue,0.17252094235937798
interested,0.16567997697438136
conscientious,0.15276847340623403
unselfish,0.14612998883918565
beautiful,0.14026644985115017
competent,0.13281873500862068
gentle,0.12950058237141387
modest,0.12290648151517299
faithful,0.11168554591843828
pleasant,0.10897145027577573
live,0.10755107768950019
fair,0.0940732622778769
earnest,0.09150943658286782
fond,0.06287437280700543
true,0.06178760686809378
proud,0.05304318539303523
cheerful,0.05210297964854427
worth,0.05141292869186898
happy,0.04809748944900892
loyal,0.04707183938072174
indispensable,0.03987852798400425
brave,0.034012204419173415
womanly,0.0340121455131174
worst,0.02908596263242934
industrious,0.022823288893759976
little,0.02187911310245406
particular,0.020699157015503306
excellent,0.018495711936384395
contagious,0.012706574882916235
jolly,0.012400529589117384
junior,0.012161094377125316
conversational,0.011082265298075952
best,0.005850920161472798
daily,0.005819469006846365
pretty,0.002632367629982161
modern,0.002587129252683965
far,-0.0023424756978943063
just,-0.0032479550048431513
inclined,-0.0038642389385257895
easy,-0.004350337493945847
mechanical,-0.0050203721562495345
clear,-0.005686353436198245
probably,-0.007006250393291747
efficient,-0.007980725065339055
doubt,-0.008663373084621437
large,-0.010306153992554216
frequently,-0.011518317939176428
red,-0.012317032855790465
better,-0.014008044663840898
close,-0.015524653704258746
good,-0.01582668170621353
quiet,-0.017070163266951602
deep,-0.02622198566371934
chief,-0.026344959944500423
athletic,-0.026757751921153317
generally,-0.027530802476605595
long,-0.02880310838245148
fast,-0.029158987085771183
able,-0.030241909119862423
hardly,-0.032504827288307434
early,-0.033870933931088365
famous,-0.03423471607860625
hot,-0.038903468906558124
right,-0.042253160001860565
great,-0.04546756754225514
general,-0.04971914107666364
late,-0.059910217506529584
away,-0.06028550578688277
rough,-0.061414056206349495
hard,-0.061686448033553866
practical,-0.07216821378540184
big,-0.09186472579211155
