feature,coef_true,tau_placebo,selected
noble,0.30076899850224975,0.08133792584488898,True
keen,0.21439088268016157,0.09263516040350764,True
mechanical,-0.17381005783485146,0.07984516951093523,True
hardly,0.15738115743294942,0.07690678682511647,True
pleasant,-0.1383650458251386,0.09942466377491901,True
modest,-0.13742597179645447,0.09725450619222518,True
civil,-0.13257165164716198,0.07972081313538196,True
glad,-0.1231508521911057,0.09941757962941893,True
conscientious,-0.12053342626292712,0.09397112000664855,True
public,0.11880893639811037,0.09432861468936359,True
inclined,-0.11520887167635446,0.09853335391877224,True
outside,0.11102057855870047,0.08479717171772555,True
electrical,-0.10583421968351313,0.07614268125868127,True
certainly,-0.098348435657881,0.08069478030474475,True
calm,-0.09798960843676426,0.07521998821587747,True
likable,0.09634467100020613,0.08531660045308616,True
quite,-0.09629408017853108,0.09422195936960481,True
surely,-0.08228817681429137,0.08189831424782078,True
bald,0.08121848025508392,0.0,True
sleepy,0.059649975747791274,0.0,True
lean,0.05825010092520618,0.054092247586236424,True
nearly,-0.048108392780073846,0.04411024033242266,True
southern,0.03196297120393886,0.0,True
biggest,0.031869948511805433,0.0,True
effective,0.018685975327346276,0.0,True
