word,coefficient
calm,0.42138782867598984
nice,0.4162992700046445
lovable,0.3766824816818373
clever,0.3673824970393183
generous,0.3517527231229661
merry,0.3440307565559568
partial,0.3338024479833769
democratic,0.2987039597495827
kind,0.2648254185429481
willing,0.2568425114767435
glad,0.2370413570575444
steadfast,0.2160102126631829
sweet,0.20530327015258865
winsome,0.2028242345975021
dependable,0.20080759801996456
conscientious,0.19052761645263183
domestic,0.17996511190503786
wild,0.17902844169712626
blue,0.16857082433008047
interested,0.16344656430053517
beautiful,0.1388524135821317
modest,0.1382139373470372
gentle,0.12383426495081554
faithful,0.12296893632302491
pleasant,0.10851468151904375
live,0.10283073401911962
fair,0.09951923935012952
earnest,0.09249171787095078
fond,0.06862378458492986
cheerful,0.05775173127686479
true,0.053706927198141505
proud,0.052338616415847736
loyal,0.048363664785378506
happy,0.04679394530336096
certainly,0.04310494490850409
indispensable,0.03433422918568772
little,0.025817450806865306
worth,0.022627994794630082
industrious,0.022158189093806648
worst,0.0205191676571878
particular,0.020400480910940082
junior,0.01890154679690397
excellent,0.015068189960335739
jolly,0.012710765850652573
best,0.010077058693265896
pretty,0.008877820982464512
brave,0.006169312728078663
womanly,0.006169185382642668
easy,-0.0007335964362412922
probably,-0.0027746129784778366
frequently,-0.0028608237584180963
large,-0.004971921280737606
red,-0.006636274240639986
just,-0.009436648113323851
better,-0.010240587801245394
close,-0.011639904029891148
good,-0.01251251605249809
deep,-0.013541615163695312
quiet,-0.017018213986246585
athletic,-0.019717886040893248
generally,-0.019969889565177517
fast,-0.020775435637237327
hardly,-0.022701742959463648
chief,-0.023960769927192243
long,-0.0255095519352941
famous,-0.026561705339982894
able,-0.026911447271427948
early,-0.03199149410288066
hot,-0.03209449256485665
great,-0.04082590949505454
general,-0.04122262144040403
late,-0.053559546419054575
rough,-0.056146034444891565
away,-0.05721840746045046
right,-0.05722833214659973
hard,-0.06353710278867417
practical,-0.08674916868547923
big,-0.08779680764356446
