intelligence,grindstone,creativity,leader,achievement,honesty,royalty,justice,trust,sympathy,dominant_personality,politeness,attractive,neatness,strength,body,physical_features,beauty,friends,outgoing,cooperativeness,humor,communication,sports,art,music,school,clubs,Ability_and_Competence_mean,Character_or_Morality_mean,Appearance_mean,Social_Relations_mean,Activities_Engagement_mean
0.7,0.9,0.6,0.5,0.8,0.5,0.2,0.3,0.6,0.4,0.7,0.5,0.6,0.4,0.8,0.7,0.6,0.5,0.6,0.7,0.6,0.4,0.7,0.5,0.3,0.3,0.8,0.5,0.7,0.4571428571428572,0.6,0.6,0.4800000000000001
0.7,0.5,0.4,0.3,0.6,0.5,0.2,0.3,0.6,0.5,0.4,0.6,0.7,0.5,0.3,0.4,0.5,0.6,0.8,0.7,0.6,0.7,0.6,0.3,0.4,0.3,0.7,0.5,0.5,0.4428571428571429,0.5,0.6799999999999999,0.44000000000000006
0.7,0.8,0.5,0.3,0.6,0.4,0.2,0.3,0.5,0.6,0.4,0.5,0.6,0.3,0.8,0.7,0.7,0.5,0.4,0.5,0.4,0.6,0.5,0.4,0.3,0.2,0.6,0.3,0.58,0.41428571428571426,0.6,0.48,0.36
0.8,0.9,0.3,0.2,0.7,0.8,0.1,0.3,0.7,0.6,0.2,0.8,0.5,0.6,0.4,0.3,0.3,0.5,0.4,0.2,0.7,0.3,0.4,0.2,0.3,0.2,0.8,0.3,0.5800000000000001,0.5,0.43333333333333335,0.4,0.36
0.8,0.9,0.7,0.5,0.8,0.6,0.2,0.4,0.6,0.5,0.7,0.5,0.4,0.3,0.6,0.5,0.4,0.4,0.6,0.7,0.5,0.7,0.8,0.4,0.3,0.2,0.7,0.5,0.74,0.5,0.4333333333333333,0.6599999999999999,0.41999999999999993
0.8,0.7,0.6,0.3,0.7,0.5,0.2,0.4,0.5,0.6,0.3,0.6,0.5,0.4,0.3,0.2,0.3,0.4,0.5,0.6,0.5,0.4,0.6,0.2,0.7,0.6,0.8,0.4,0.6199999999999999,0.4428571428571429,0.35000000000000003,0.52,0.5399999999999999
0.7,0.6,0.8,0.5,0.6,0.4,0.2,0.3,0.5,0.4,0.5,0.6,0.8,0.5,0.4,0.5,0.6,0.7,0.6,0.7,0.5,0.8,0.7,0.3,0.6,0.8,0.5,0.4,0.6399999999999999,0.4142857142857143,0.5833333333333334,0.6599999999999999,0.52
0.8,0.6,0.5,0.7,0.7,0.9,0.2,0.5,0.8,0.6,0.5,0.7,0.6,0.5,0.4,0.3,0.3,0.4,0.8,0.8,0.7,0.7,0.7,0.3,0.2,0.2,0.8,0.6,0.6599999999999999,0.6,0.4166666666666667,0.74,0.42000000000000004
0.7,0.4,0.8,0.3,0.5,0.6,0.2,0.3,0.7,0.6,0.4,0.7,0.6,0.5,0.4,0.3,0.4,0.5,0.8,0.8,0.7,0.9,0.8,0.3,0.4,0.3,0.5,0.4,0.54,0.5,0.45,0.8,0.38
0.5,0.7,0.3,0.6,0.5,0.8,0.2,0.4,0.8,0.9,0.4,0.7,0.6,0.5,0.5,0.4,0.4,0.5,0.8,0.7,0.7,0.6,0.7,0.3,0.2,0.2,0.4,0.3,0.52,0.6,0.48333333333333334,0.7,0.28
0.8,0.6,0.9,0.7,0.7,0.5,0.4,0.3,0.6,0.5,0.6,0.5,0.3,0.4,0.5,0.2,0.2,0.3,0.4,0.5,0.6,0.7,0.7,0.2,0.4,0.2,0.8,0.5,0.74,0.4857142857142857,0.31666666666666665,0.5800000000000001,0.42000000000000004
0.5,0.3,0.8,0.2,0.4,0.3,0.1,0.1,0.2,0.3,0.4,0.3,0.7,0.4,0.3,0.5,0.6,0.7,0.6,0.7,0.4,0.5,0.6,0.2,0.9,0.3,0.4,0.3,0.44000000000000006,0.24285714285714285,0.5333333333333333,0.5599999999999999,0.42000000000000004
0.7,0.6,0.3,0.2,0.8,0.5,0.1,0.2,0.4,0.3,0.2,0.5,0.4,0.3,0.6,0.7,0.6,0.4,0.3,0.2,0.3,0.2,0.4,0.9,0.1,0.1,0.7,0.2,0.5199999999999999,0.31428571428571433,0.49999999999999994,0.27999999999999997,0.4
0.8,0.9,0.5,0.6,0.8,0.7,0.3,0.5,0.7,0.6,0.5,0.7,0.5,0.6,0.4,0.3,0.3,0.4,0.8,0.6,0.7,0.5,0.7,0.4,0.3,0.3,0.8,0.5,0.7200000000000001,0.5714285714285714,0.4166666666666667,0.6599999999999999,0.45999999999999996
0.9,0.8,0.5,0.7,0.8,0.7,0.2,0.5,0.7,0.6,0.6,0.7,0.5,0.4,0.5,0.4,0.3,0.3,0.6,0.6,0.7,0.4,0.7,0.3,0.2,0.2,0.8,0.5,0.74,0.5714285714285714,0.3999999999999999,0.6,0.4
