Dependent Variable,Variable,Coefficient,Std. Error,p-value,Significance
intelligence,Intercept,0.6568245125348191,0.009319169247892611,0.0,***
intelligence,gender[T.Male],-0.0233766316642577,0.01023248530313675,0.02243838975396265,**
grindstone,Intercept,0.5722841225626742,0.01181577162440576,0.0,***
grindstone,gender[T.Male],0.014772005730567627,0.012973764750467747,0.254997232852569,
creativity,Intercept,0.5317548746518107,0.010323751929415911,0.0,***
creativity,gender[T.Male],-0.04621650122683929,0.011335521126506671,4.728964976161844e-05,***
leader,Intercept,0.377715877437326,0.009686588373172371,9.328964703547652e-251,***
leader,gender[T.Male],0.006190193582147156,0.010635912979951043,0.5606232242930698,
achievement,Intercept,0.5938718662952648,0.010240775160579026,0.0,***
achievement,gender[T.Male],0.0013744109097754385,0.011244412300704715,0.9027280962679838,
honesty,Intercept,0.5935933147632313,0.00874405703196459,0.0,***
honesty,gender[T.Male],-0.05241347512978341,0.009601009777733168,5.348343187052152e-08,***
royalty,Intercept,0.23398328690807804,0.006580511903767535,3.030003338502026e-217,***
royalty,gender[T.Male],-0.046927158614836414,0.007225428528153894,1.0350715168005543e-10,***
justice,Intercept,0.3476323119777159,0.007220691534453309,0.0,***
justice,gender[T.Male],-0.03245476329501258,0.007928348336573621,4.409502015371925e-05,***
trust,Intercept,0.6005571030640671,0.008247329208701828,0.0,***
trust,gender[T.Male],-0.06350097477082528,0.009055600630630843,3.1461653928385464e-12,***
sympathy,Intercept,0.5456824512534819,0.00810198128554008,0.0,***
sympathy,gender[T.Male],-0.11418187851579595,0.008896008026608726,2.3231138723446665e-36,***
dominant_personality,Intercept,0.3961002785515321,0.009032117300143486,6.536554716759667e-299,***
dominant_personality,gender[T.Male],0.029386548481686755,0.009917301110377946,0.0030791658032605002,***
politeness,Intercept,0.6289693593314766,0.007978162966621884,0.0,***
politeness,gender[T.Male],-0.10634622072895647,0.008760055014608643,7.915933591550552e-33,***
attractive,Intercept,0.5727019498607243,0.007780016892897207,0.0,***
attractive,gender[T.Male],-0.11313723050219068,0.008542489828986491,1.6269981582024598e-38,***
neatness,Intercept,0.47047353760445687,0.007611214291725142,0.0,***
neatness,gender[T.Male],-0.09859495799391862,0.008357143894206413,3.761299679169391e-31,***
strength,Intercept,0.3799442896935934,0.008894230443068684,1.319213490830205e-287,***
strength,gender[T.Male],0.024923980638594544,0.009765900786917494,0.01077638182724538,**
body,Intercept,0.32172701949860727,0.00924709325275089,6.959676669622143e-210,***
body,gender[T.Male],0.0215719495735577,0.010153345570680082,0.033735104002672336,**
physical_features,Intercept,0.3852367688022285,0.0093804505358216,3.1078047668921184e-271,***
physical_features,gender[T.Male],-0.03369037704965116,0.01029977240367229,0.0010890675831165147,***
beauty,Intercept,0.5036211699164347,0.008285421423222063,0.0,***
beauty,gender[T.Male],-0.14674831768275784,0.00909742603532884,2.8017863448677974e-55,***
friends,Intercept,0.6186629526462397,0.008938177921930647,0.0,***
friends,gender[T.Male],-0.07742583924417785,0.009814155295404572,4.847059148787682e-15,***
outgoing,Intercept,0.5838440111420613,0.009697130884576473,0.0,***
outgoing,gender[T.Male],-0.04930792866783458,0.010647488699860303,3.862365072384564e-06,***
cooperativeness,Intercept,0.5974930362116992,0.007774599983873517,0.0,***
cooperativeness,gender[T.Male],-0.08409097435602925,0.00853654204109908,2.0622410092160837e-22,***
humor,Intercept,0.5169916434540389,0.01015224816218012,0.0,***
humor,gender[T.Male],-0.005708711037085945,0.011147209300528226,0.6086206643016614,
communication,Intercept,0.6353760445682453,0.007301770989115023,0.0,***
communication,gender[T.Male],-0.051756342391842,0.00801737390378284,1.3351066998449644e-10,***
sports,Intercept,0.2696378830083565,0.011414274158508408,1.2672364756705498e-109,***
sports,gender[T.Male],0.05327162443723343,0.012532918918638872,2.2258033819331957e-05,***
art,Intercept,0.3657381615598887,0.00842544528714237,1.7874938368381898e-294,***
art,gender[T.Male],-0.10061788664579947,0.009251172800897774,7.643138518862139e-27,***
music,Intercept,0.3050139275766017,0.008630890830576289,3.769538006630482e-215,***
music,gender[T.Male],-0.06560957477018715,0.009476752833609157,5.842930545489731e-12,***
school,Intercept,0.6623955431754878,0.009367081003126573,0.0,***
school,gender[T.Male],-0.037767822671478386,0.010285092603019179,0.00024657420305810397,***
clubs,Intercept,0.40362116991643465,0.007906307085652873,0.0,***
clubs,gender[T.Male],-0.029967103478863007,0.008681156968398608,0.0005675064601755222,***
Ability_and_Competence_mean,Intercept,0.546490250696379,0.007628103093736273,0.0,***
Ability_and_Competence_mean,gender[T.Male],-0.009451304533721318,0.008375687866718294,0.2592707514496533,
Character_or_Morality_mean,Intercept,0.47807401512136893,0.0055853376444136,0.0,***
Character_or_Morality_mean,gender[T.Male],-0.055205417510503355,0.006132723190153739,4.844247119916114e-19,***
Appearance_mean,Intercept,0.438950789229341,0.0067788031625142225,0.0,***
Appearance_mean,gender[T.Male],-0.05761249216939434,0.007443153127513949,1.5284360998308414e-14,***
Social_Relations_mean,Intercept,0.5904735376044569,0.006923462040650265,0.0,***
Social_Relations_mean,gender[T.Male],-0.05365795913939384,0.007601989157327448,2.27818067426116e-12,***
Activities_Engagement_mean,Intercept,0.4012813370473538,0.005722174583671028,0.0,***
Activities_Engagement_mean,gender[T.Male],-0.03613815262581889,0.00628297069962938,1.012317718758764e-08,***
