word,coefficient
nice,0.44206276849542486
lovable,0.3912433947567385
calm,0.3861698737295843
kind,0.33427116435927384
democratic,0.3203836331395282
generous,0.2976418489591202
partial,0.2544146245072527
clever,0.20762812927048208
merry,0.20117039357628486
willing,0.19294366196684712
glad,0.18170368632374007
interested,0.14883639884014915
sweet,0.1442571406186086
conscientious,0.13572783894098275
modest,0.11304134141572139
faithful,0.10941551655103024
live,0.10609613203395526
beautiful,0.08330952153034628
domestic,0.07435611608150756
true,0.07056076919987683
indispensable,0.06943116099033775
blue,0.06680357220168572
certainly,0.061747437033123354
fond,0.05633639333572448
excellent,0.055063893963598724
loyal,0.0362855802867655
happy,0.03516869218876193
worst,0.032035067738209175
best,0.027207922619276566
junior,0.02690386415219095
winsome,0.02451297552963469
pretty,0.02441008926381081
gentle,0.023405663940218875
earnest,0.023025547349428677
ready,0.019261626486887378
particularly,0.01907572804646485
fair,0.0171646227566788
quite,0.016643921814604303
brilliant,0.013459515769477516
cheerful,0.010554766880563653
little,0.007154612835980518
afraid,0.0067057599872533125
daily,0.006647588421326593
thoughtful,0.0049664042595694066
proud,7.24204225276785e-05
general,-0.0019731499109045345
hot,-0.002976812481269449
deep,-0.005633558650459196
late,-0.005639571881893398
second,-0.007382319891852169
just,-0.0117086654714993
prep,-0.013580683093423952
quiet,-0.01703094078812721
chief,-0.017924391971826274
able,-0.018333273246639227
long,-0.025631095171292955
capable,-0.028494130159896408
early,-0.029638532864348362
red,-0.031647133978326164
right,-0.03218952536949716
better,-0.03258866430020944
great,-0.03426401119607049
rough,-0.037218134771067946
away,-0.06082995375516991
practical,-0.0638948902530621
hard,-0.06529034287504595
big,-0.07239993383422567
